energy_%,bpm,danceability_%,liveness_%,valence_%,speechiness_%,instrumentalness_%
0.73,155.008,0.834,0.124,0.446,0.222,0.0
0.668,87.973,0.573,0.109,0.145,0.0467,4.01e-05
0.603,135.993,0.735,0.0844,0.429,0.203,3.56e-05
0.637,171.264,0.567,0.235,0.882,0.298,0.0346
0.874,118.079,0.774,0.413,0.927,0.0488,0.34
0.792,113.981,0.749,0.0712,0.903,0.0402,1.63e-05
0.812,100.049,0.455,0.199,0.823,0.211,0.0
0.648,93.2,0.737,0.105,0.746,0.138,6.92e-06
0.814,93.482,0.683,0.0858,0.758,0.0466,0.00826
0.683,145.379,0.501,0.0685,0.623,0.211,9.25e-05
0.634,101.837,0.502,0.188,0.645,0.144,0.0341
0.651,112.648,0.694,0.0787,0.471,0.0784,1.36e-05
0.581,99.973,0.805,0.0933,0.528,0.0601,0.0202
0.563,105.008,0.833,0.139,0.343,0.204,1.27e-05
0.737,101.923,0.779,0.0974,0.445,0.109,0.0
0.662,95.999,0.863,0.334,0.307,0.21,8.45e-06
0.482,100.029,0.69,0.0728,0.356,0.2,0.0004
0.668,128.027,0.924,0.0678,0.787,0.0469,0.000594
0.762,90.025,0.816,0.0845,0.782,0.0565,0.000404
0.718,105.002,0.848,0.116,0.564,0.0557,1.9e-05
0.712,91.98,0.848,0.106,0.692,0.0981,0.0
0.627,155.865,0.687,0.0893,0.47,0.181,0.0
0.483,171.831,0.753,0.0681,0.826,0.273,0.0
0.724,101.097,0.556,0.217,0.681,0.119,0.0
0.442,100.021,0.776,0.0723,0.838,0.0575,1.31e-05
0.614,119.893,0.658,0.092,0.465,0.0324,2.18e-05
0.681,155.079,0.56,0.106,0.388,0.244,0.0
0.719,104.033,0.707,0.371,0.701,0.0395,2e-06
0.536,97.541,0.716,0.208,0.359,0.0328,0.0
0.594,125.01,0.694,0.131,0.672,0.0366,0.0
0.752,100.076,0.841,0.949,0.67,0.105,0.00046
0.709,194.055,0.744,0.0847,0.712,0.284,0.0
0.707,82.045,0.786,0.121,0.691,0.0635,0.0
0.832,98.582,0.742,0.296,0.716,0.0325,0.0
0.616,104.008,0.773,0.145,0.25,0.0416,4.24e-05
0.689,120.208,0.724,0.0922,0.936,0.0524,6.77e-06
0.74,117.955,0.748,0.087,0.618,0.0387,0.000109
0.856,136.0,0.691,0.0876,0.713,0.0536,5.09e-05
0.464,79.503,0.373,0.127,0.301,0.256,0.0135
0.783,103.001,0.705,0.0984,0.454,0.0403,0.0
0.631,111.93,0.706,0.227,0.289,0.0366,0.0
0.445,156.023,0.55,0.507,0.512,0.0847,0.00318
0.764,148.853,0.666,0.347,0.729,0.116,0.0
0.162,184.784,0.459,0.137,0.483,0.0425,0.0
0.834,139.995,0.783,0.0903,0.92,0.029,0.000212
0.682,100.036,0.75,0.112,0.618,0.0945,1.28e-06
0.578,199.997,0.734,0.113,0.88,0.295,0.000242
0.513,109.935,0.745,0.216,0.929,0.087,0.0
0.824,124.997,0.747,0.282,0.793,0.0348,0.0
0.787,165.07,0.809,0.0653,0.9,0.125,0.0011
0.356,169.653,0.529,0.136,0.659,0.0569,0.0
0.806,123.009,0.763,0.0612,0.594,0.0532,1.32e-05
